subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy,cost_scenario,preventive_cost,early_cost_per_cycle,late_cost,missed_critical_cost,critical_threshold
FD001,cnn,42,30,130,y_pred,10.0,0.04,0.02,0.05,0.21,4.7410000000000005,0.07,4.671,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,42,30,130,y_pred,20.0,0.17,0.03,0.02,0.09,2.1754,0.16,2.0154,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,42,30,130,y_pred,30.0,0.18,0.01,0.08,0.08,2.5816,0.25,2.3316,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,42,30,130,y_pred,50.0,0.22,0.01,0.12,0.05,2.427,0.33,2.097,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,43,30,130,y_pred,10.0,0.05,0.01,0.03,0.2,4.3502,0.07,4.2802,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,43,30,130,y_pred,20.0,0.13,0.02,0.05,0.13,3.2338,0.16,3.0738,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,43,30,130,y_pred,30.0,0.19,0.01,0.07,0.07,2.2916,0.25,2.0416,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,43,30,130,y_pred,50.0,0.29,0.02,0.06,0.04,1.6978,0.33,1.3678,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,44,30,130,y_pred,10.0,0.0,0.0,0.07,0.25,5.7,0.07,5.63,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,44,30,130,y_pred,20.0,0.07,0.0,0.09,0.18,4.57,0.16,4.41,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,44,30,130,y_pred,30.0,0.12,0.01,0.14,0.14,4.3216,0.25,4.0716,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,cnn,44,30,130,y_pred,50.0,0.22,0.01,0.12,0.07,2.827,0.33,2.497,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,42,30,130,y_pred,10.0,0.04,0.0,0.03,0.21,4.54,0.07,4.47,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,42,30,130,y_pred,20.0,0.13,0.01,0.04,0.12,2.9301999999999997,0.16,2.7702,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,42,30,130,y_pred,30.0,0.23,0.01,0.03,0.03,1.1308,0.25,0.8808,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,42,30,130,y_pred,50.0,0.33,0.03,0.03,0.0,0.6416,0.33,0.3116,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,43,30,130,y_pred,10.0,0.04,0.0,0.03,0.21,4.54,0.07,4.47,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,43,30,130,y_pred,20.0,0.14,0.02,0.04,0.11,2.7403999999999997,0.16,2.5804,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,43,30,130,y_pred,30.0,0.23,0.0,0.02,0.02,0.83,0.25,0.58,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,43,30,130,y_pred,50.0,0.33,0.03,0.03,0.0,0.6416,0.33,0.3116,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,44,30,130,y_pred,10.0,0.05,0.0,0.02,0.2,4.25,0.07,4.18,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,44,30,130,y_pred,20.0,0.12,0.02,0.06,0.13,3.3204,0.16,3.1603999999999997,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,44,30,130,y_pred,30.0,0.23,0.01,0.03,0.03,1.1308,0.25,0.8808,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gradient_boosting,44,30,130,y_pred,50.0,0.32,0.02,0.03,0.0,0.6245999999999999,0.33,0.2946,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,42,30,130,y_pred,10.0,0.06,0.0,0.01,0.19,3.96,0.07,3.89,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,42,30,130,y_pred,20.0,0.14,0.02,0.04,0.11,2.7403999999999997,0.16,2.5803999999999996,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,42,30,130,y_pred,30.0,0.23,0.02,0.04,0.04,1.4324000000000001,0.25,1.1824,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,42,30,130,y_pred,50.0,0.32,0.02,0.03,0.0,0.6278,0.33,0.2978,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,43,30,130,y_pred,10.0,0.08,0.01,0.0,0.17,3.4802,0.07,3.4101999999999997,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,43,30,130,y_pred,20.0,0.16,0.03,0.03,0.1,2.464,0.16,2.3040000000000003,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,43,30,130,y_pred,30.0,0.23,0.02,0.04,0.04,1.4324000000000001,0.25,1.1824,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,43,30,130,y_pred,50.0,0.31,0.02,0.04,0.0,0.7178,0.33,0.38780000000000003,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,44,30,130,y_pred,10.0,0.05,0.01,0.03,0.2,4.3502,0.07,4.2802,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,44,30,130,y_pred,20.0,0.16,0.02,0.02,0.09,2.1604,0.16,2.0004000000000004,mean,baseline,1.0,0.02,10.0,20.0,30.0
FD001,gru,44,30,130,y_pred,30.0,0.2,0.01,0.06,0.06,2.0016,0.25,1.7516,mean,baseline,1.0,0.02,10.0,20.0,30.0
